q1,pt1,pe1,densidad1,qf,semaforo
0.309555013,322.4,217,1,0.428449845,BAJO REQ
0.36007463,434,291.4,1,0.49837319,BAJO REQ
0.36007463,434,291.4,1,0.49837319,BAJO REQ
0.36007463,434,291.4,1,0.49837319,BAJO REQ
0.352157976,434,297.6,1,0.487415883,BAJO REQ
0.36007463,440.2,297.6,1,0.49837319,BAJO REQ
0.36007463,440.2,297.6,1,0.49837319,BAJO REQ
0.36007463,440.2,297.6,1,0.49837319,BAJO REQ
0.36007463,440.2,297.6,1,0.49837319,BAJO REQ
0.367821064,452.6,303.8,1,0.509094899,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.375407813,471.2,316.2,1,0.519595589,BAJO REQ
0.375407813,465,310,1,0.519595589,BAJO REQ
0.375407813,465,310,1,0.519595589,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.367821064,458.8,310,1,0.509094899,BAJO REQ
0.367821064,458.8,310,1,0.509094899,BAJO REQ
0.367821064,452.6,303.8,1,0.509094899,BAJO REQ
0.36007463,440.2,297.6,1,0.49837319,BAJO REQ
0.367821064,458.8,310,1,0.509094899,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.33576561,372,248,1,0.464727487,BAJO REQ
0.327261905,372,254.2,1,0.452957654,BAJO REQ
0.33576561,384.4,260.4,1,0.464727487,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.36007463,446.4,303.8,1,0.49837319,BAJO REQ
0.367821064,446.4,297.6,1,0.509094899,BAJO REQ
0.36007463,421.6,279,1,0.49837319,BAJO REQ
0.36007463,440.2,297.6,1,0.49837319,BAJO REQ
0.352157976,440.2,303.8,1,0.487415883,BAJO REQ
0.352157976,446.4,310,1,0.487415883,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.36007463,458.8,316.2,1,0.49837319,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.352157976,477.4,341,1,0.487415883,BAJO REQ
0.344059356,465,334.8,1,0.476206722,BAJO REQ
0.352157976,465,328.6,1,0.487415883,BAJO REQ
0.36007463,458.8,316.2,1,0.49837319,BAJO REQ
0.344059356,458.8,328.6,1,0.476206722,BAJO REQ
0.352157976,458.8,322.4,1,0.487415883,BAJO REQ
0.352157976,452.6,316.2,1,0.487415883,BAJO REQ
0.36007463,458.8,316.2,1,0.49837319,BAJO REQ
0.352157976,452.6,316.2,1,0.487415883,BAJO REQ
0.36007463,458.8,316.2,1,0.49837319,BAJO REQ
0.352157976,458.8,322.4,1,0.487415883,BAJO REQ
0.36007463,458.8,316.2,1,0.49837319,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.36007463,452.6,310,1,0.49837319,BAJO REQ
0.367821064,409.2,260.4,1,0.509094899,BAJO REQ
0.367821064,409.2,260.4,1,0.509094899,BAJO REQ
0.367821064,409.2,260.4,1,0.509094899,BAJO REQ
0.367821064,409.2,260.4,1,0.509094899,BAJO REQ
0.367821064,415.4,266.6,1,0.509094899,BAJO REQ
0.367821064,415.4,266.6,1,0.509094899,BAJO REQ
0.367821064,409.2,260.4,1,0.509094899,BAJO REQ
0.352157976,446.4,310,1,0.487415883,BAJO REQ
0.367821064,415.4,266.6,1,0.509094899,BAJO REQ
0.36007463,415.4,272.8,1,0.49837319,BAJO REQ
0.367821064,415.4,266.6,1,0.509094899,BAJO REQ
0.367821064,415.4,266.6,1,0.509094899,BAJO REQ
0.367821064,415.4,266.6,1,0.509094899,BAJO REQ
0.36007463,415.4,272.8,1,0.49837319,BAJO REQ
0.36007463,415.4,272.8,1,0.49837319,BAJO REQ
0.367821064,415.4,266.6,1,0.509094899,BAJO REQ
0.318531433,303.8,192.2,1,0.440873956,BAJO REQ
0.130026093,55.8,37.2,1,0.179966911,BAJO REQ
